transaction_id,customer_id,amount,category,date,is_fraud,risk_score,processed_at
TXN000001,CUST0770,27977.99,Travel,2026-06-02,0,HIGH,2026-06-10 20:52:12
TXN000002,CUST0118,28205.67,Food,2026-04-21,0,HIGH,2026-06-10 20:52:12
TXN000003,CUST0577,80.27,Food,2026-04-15,0,LOW,2026-06-10 20:52:12
TXN000004,CUST0702,36386.77,Travel,2026-03-21,0,HIGH,2026-06-10 20:52:12
TXN000005,CUST0419,7875.68,Travel,2026-04-16,0,MEDIUM,2026-06-10 20:52:12
TXN000006,CUST0083,35903.37,Shopping,2026-05-14,0,HIGH,2026-06-10 20:52:12
TXN000007,CUST0632,44442.42,Food,2026-04-20,0,HIGH,2026-06-10 20:52:12
TXN000008,CUST0724,15619.52,Shopping,2026-01-16,0,HIGH,2026-06-10 20:52:12
TXN000009,CUST0668,46184.33,Healthcare,2026-02-15,0,HIGH,2026-06-10 20:52:12
TXN000010,CUST0090,40763.6,Food,2026-03-24,0,HIGH,2026-06-10 20:52:12
TXN000011,CUST0759,15194.21,Shopping,2026-02-05,0,HIGH,2026-06-10 20:52:12
TXN000012,CUST0177,47273.09,Food,2026-03-25,0,HIGH,2026-06-10 20:52:12
TXN000013,CUST0424,18740.95,Healthcare,2026-05-30,0,HIGH,2026-06-10 20:52:12
TXN000014,CUST0420,10375.11,Food,2026-01-04,0,HIGH,2026-06-10 20:52:12
TXN000015,CUST0546,38849.62,Food,2026-01-16,0,HIGH,2026-06-10 20:52:12
TXN000016,CUST0103,41345.85,Food,2026-03-08,0,HIGH,2026-06-10 20:52:12
TXN000017,CUST0014,46392.67,Travel,2026-03-08,0,HIGH,2026-06-10 20:52:12
TXN000018,CUST0491,28808.0,Shopping,2026-01-06,0,HIGH,2026-06-10 20:52:12
TXN000019,CUST0485,12572.03,Shopping,2026-06-08,0,HIGH,2026-06-10 20:52:12
TXN000020,CUST0234,34205.27,Healthcare,2026-04-30,0,HIGH,2026-06-10 20:52:12
TXN000021,CUST0490,26238.96,Healthcare,2026-03-03,0,HIGH,2026-06-10 20:52:12
TXN000022,CUST0386,22534.81,Travel,2026-02-15,0,HIGH,2026-06-10 20:52:12
TXN000023,CUST0106,49579.29,Food,2026-05-04,1,HIGH,2026-06-10 20:52:12
